,Encounter #,Location,Date,Weapon,Wielder,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Notes 1,Notes 2,Notes 3,Citation,Text,Continent
0,1,"Auldearn, Scotland",1645.0,Broadsword,Alaster MacColl,Cut,Head,Death,,Foot,Decapitation,,,BSF 281,"Then Alaster MacColl, by one stroke of his sword, swept off the head of the leading pikeman, drove back the others, and shut the gate; after which he drew the barbed arrow from the cheek of Ranald.” (James Grant, Memoirs of James, Marquis of Montrose, 1858.)",Europe
1,1,"Auldearn, Scotland",1645.0,Polearm,Pikemen,Thrust,Torso,Ineffective,Ineffective,Foot,Five pike wounds,Blood loss,,British Sword Fighters 281,"Shielding his breast with the light buckler, he strove to draw his sword when his powder was expended and his musket useless; but glued by blood to the scabbard, it refused to come forth. Thrice he tugged, and thrice it resisted. In grasping the sheath with his left hand [and thereby freeing the blade], he was compelled to lower his target; and then, five pikes were driven at once into his bosom [“but not an inch deep”, according to an eye witness]. But he succeeded in hewing down the pikemen, and reached the shelter of the garden wall, faint and drenched in blood.",Europe
2,1,"Auldearn, Scotland",1645.0,Polearm,Pikemen,Thrust,Torso,Ineffective,Ineffective,Foot,Five pike wounds,Blood loss,,BSF 281,"Shielding his breast with the light buckler, he strove to draw his sword when his powder was expended and his musket useless; but glued by blood to the scabbard, it refused to come forth. Thrice he tugged, and thrice it resisted. In grasping the sheath with his left hand [and thereby freeing the blade], he was compelled to lower his target; and then, five pikes were driven at once into his bosom [“but not an inch deep”, according to an eye witness]. But he succeeded in hewing down the pikemen, and reached the shelter of the garden wall, faint and drenched in blood.",Europe
3,1,"Auldearn, Scotland",1645.0,Polearm,Pikemen,Thrust,Torso,Ineffective,Ineffective,Foot,Five pike wounds,Blood loss,,BSF 281,"Shielding his breast with the light buckler, he strove to draw his sword when his powder was expended and his musket useless; but glued by blood to the scabbard, it refused to come forth. Thrice he tugged, and thrice it resisted. In grasping the sheath with his left hand [and thereby freeing the blade], he was compelled to lower his target; and then, five pikes were driven at once into his bosom [“but not an inch deep”, according to an eye witness]. But he succeeded in hewing down the pikemen, and reached the shelter of the garden wall, faint and drenched in blood.",Europe
4,1,"Auldearn, Scotland",1645.0,Polearm,Pikemen,Thrust,Torso,Ineffective,Ineffective,Foot,Five pike wounds,Blood loss,,BSF 281,"Shielding his breast with the light buckler, he strove to draw his sword when his powder was expended and his musket useless; but glued by blood to the scabbard, it refused to come forth. Thrice he tugged, and thrice it resisted. In grasping the sheath with his left hand [and thereby freeing the blade], he was compelled to lower his target; and then, five pikes were driven at once into his bosom [“but not an inch deep”, according to an eye witness]. But he succeeded in hewing down the pikemen, and reached the shelter of the garden wall, faint and drenched in blood.",Europe
5,1,"Auldearn, Scotland",1645.0,Polearm,Pikemen,Thrust,Torso,Ineffective,Ineffective,Foot,Five pike wounds,Blood loss,,BSF 281,"Shielding his breast with the light buckler, he strove to draw his sword when his powder was expended and his musket useless; but glued by blood to the scabbard, it refused to come forth. Thrice he tugged, and thrice it resisted. In grasping the sheath with his left hand [and thereby freeing the blade], he was compelled to lower his target; and then, five pikes were driven at once into his bosom [“but not an inch deep”, according to an eye witness]. But he succeeded in hewing down the pikemen, and reached the shelter of the garden wall, faint and drenched in blood.",Europe
6,2,"Achadelew, Scotland",1654.0,Broadsword,unspecified,Cut,Arm,Death,,unspecified,Dismemberment,,,BSF 284,"There were some that had their bellies laid open, and others with their arms, thighs, and legs lopped off in an amazing manner.",Europe
7,2,"Achadelew, Scotland",1654.0,Broadsword,unspecified,Cut,Head,Death,,unspecified,Bisection,,,BSF 284,"“The astonishment of the Governor [of Inverlochy] and his officers, upon seeing the dead bodies [of the English soldiers] exposed, is inexpressible. The deep wounds and terrible slashes that appeared on these mangled carcasses seemed to be above the strength of man. Some had their heads cut down a good way into the neck;",Europe
8,2,"Achadelew, Scotland",1654.0,Broadsword,unspecified,Cut,Head,Death,,unspecified,Bisection,,,BSF 284,others had them divided across by the mouth and nose,Europe
9,2,"Achadelew, Scotland",1654.0,Broadsword,unspecified,Cut,Leg,Death,,unspecified,Dismemberment,,,BSF 284,"There were some that had their bellies laid open, and others with their arms, thighs, and legs lopped off in an amazing manner.",Europe
