,Date,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Continent,Weapon Type,Fight Ended,Mortality
0,1645.0,Cut,Head,Death,,Foot,Europe,Sword_vers,True,True
1,1645.0,Thrust,Torso,Ineffective,Ineffective,Foot,Europe,Polearm,False,False
2,1645.0,Thrust,Torso,Ineffective,Ineffective,Foot,Europe,Polearm,False,False
3,1645.0,Thrust,Torso,Ineffective,Ineffective,Foot,Europe,Polearm,False,False
4,1645.0,Thrust,Torso,Ineffective,Ineffective,Foot,Europe,Polearm,False,False
5,1645.0,Thrust,Torso,Ineffective,Ineffective,Foot,Europe,Polearm,False,False
6,1654.0,Cut,Arm,Death,,unspecified,Europe,Sword_vers,True,True
7,1654.0,Cut,Head,Death,,unspecified,Europe,Sword_vers,True,True
8,1654.0,Cut,Head,Death,,unspecified,Europe,Sword_vers,True,True
9,1654.0,Cut,Leg,Death,,unspecified,Europe,Sword_vers,True,True
10,1654.0,Cut,Torso,Death,,unspecified,Europe,Sword_vers,True,True
11,1679.0,Cut,Arm,Incapacitation,Incapacitation,Foot,Europe,Sword_vers,True,False
12,1679.0,Cut,Head,Death,,Foot,Europe,Sword_vers,True,True
13,1679.0,Thrust,unspecified,Ineffective,Ineffective,Foot,Europe,Sword_vers,False,False
14,1679.0,Cut,Arm,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
15,1679.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
16,1679.0,Cut,Torso,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
17,1679.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_vers,True,False
18,1679.0,Cut,Arm,Incapacitation,Incapacitation,Horse,Europe,Sword_vers,True,False
19,1679.0,Cut,Arm,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
20,1679.0,Cut,Arm,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
21,1679.0,Cut,Arm,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
22,1679.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_vers,True,False
23,1679.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
24,1680.0,Cut,Head,Death,,Horse,Europe,Sword_vers,True,True
25,1680.0,Strike,Head,Ineffective,Ineffective,Foot,Europe,Sword_vers,False,False
26,1680.0,Strike,Head,Ineffective,Ineffective,Foot,Europe,Sword_vers,False,False
27,1680.0,Strike,Head,Incapacitation,Incapacitation,Foot,Europe,Sword_vers,True,False
28,1680.0,Cut,Head,Death,,Horse,Europe,Sword_vers,True,True
29,1680.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
30,1680.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
31,1680.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Sword_vers,False,False
32,1689.0,Thrust,Leg,Ineffective,Ineffective,Foot,Europe,Polearm,False,False
33,1689.0,Cut,Multiple,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_vers,False,False
34,1689.0,Cut,Head,Death,,unspecified,Europe,Sword_vers,True,True
35,1803.0,Thrust,Leg,Ineffective,Ineffective,Foot,Asia,Polearm,False,False
36,1689.0,Cut,Various,Incapacitation,Incapacitation,Foot,Europe,Sword_2h,True,False
37,1689.0,Cut,Torso,Death,,Foot,Europe,Sword_vers,True,True
38,1689.0,Cut,Various,Death,,Foot,Europe,Other,True,True
39,1689.0,Cut,Various,Death,,Foot,Europe,Sword_vers,True,True
40,1689.0,Cut,Various,Death,,Foot,Europe,Sword_vers,True,True
41,1689.0,Cut,Various,Death,,Foot,Europe,Sword_2h,True,True
42,1715.0,Cut,Arm,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
43,1715.0,Cut,Head,Death,,Horse,Europe,Sword_vers,True,True
44,1715.0,Cut,Head,Ineffective,Ineffective,unspecified,Europe,Sword_cutting,False,False
45,1745.0,Cut,Various,Incapacitation,Incapacitation,Foot vs Horse,Europe,Polearm,True,False
46,1745.0,Cut,Arm,Incapacitation,Incapacitation,Foot,Europe,Sword_vers,True,False
47,1745.0,Cut,Head,Death,,Foot,Europe,Sword_vers,True,True
48,1745.0,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Europe,Polearm,True,False
49,1745.0,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Europe,Polearm,True,False
50,1745.0,Cut,Leg,Incapacitation,Incapacitation,Foot vs Horse,Europe,Sword_vers,True,False
51,1745.0,Cut,Torso,Incapacitation,Incapacitation,Foot vs Horse,Europe,Polearm,True,False
52,1745.0,Cut,Arm,Incapacitation,Incapacitation,unspecified,Europe,Sword_vers,True,False
53,1745.0,Cut,Leg,Incapacitation,Incapacitation,unspecified,Europe,Sword_vers,True,False
54,1746.0,Cut,Head,Death,,unspecified,Europe,Sword_vers,True,True
55,1833.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
56,1812.0,Cut,Various,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
57,1812.0,Cut,Various,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
58,1810.0,Cut,Various,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
59,1834.0,Cut,Head,Death,,unspecified,Europe,Sword_cutting,True,True
60,1810.0,Cut,Various,unspecified,unspecified,Horse,Europe,Sword_cutting,False,False
61,1810.0,Cut,Head,unspecified,unspecified,unspecified,Europe,Sword_cutting,False,False
62,1813.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
63,1811.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
64,1810.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
65,1810.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
66,1810.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
67,1810.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
68,1810.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
69,1811.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
70,1811.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
71,1811.0,unspecified,unspecified,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
72,1810.0,Thrust,Head,Death,,Horse,Europe,Sword_cutting,True,True
73,1810.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
74,1810.0,Cut,Torso,Death,,Horse,Europe,Sword_cutting,True,True
75,1812.0,Cut,Hand,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
76,1812.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
77,1812.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
78,1812.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
79,1812.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
80,1813.0,Cut,unspecified,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
81,1813.0,Thrust,unspecified,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
82,1813.0,Thrust,unspecified,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
83,1813.0,Thrust,unspecified,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
84,1813.0,Thrust,unspecified,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
85,1813.0,Thrust,unspecified,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
86,1813.0,Thrust,unspecified,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
87,1813.0,Thrust,unspecified,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
88,1812.0,Cut,Head,Death,,Foot,Europe,Sword_cutting,True,True
89,1812.0,Thrust,Leg,Ineffective,Ineffective,Foot,Europe,Club,False,False
90,1812.0,Thrust,Leg,Ineffective,Ineffective,Foot,Europe,Polearm,False,False
91,1812.0,Strike,Various,Ineffective,Ineffective,Foot,Europe,Unarmed,False,False
92,1810.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
93,1810.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
94,1810.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
95,1810.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
96,1810.0,Thrust,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
97,1810.0,Cut,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
98,1810.0,Cut,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
99,1810.0,Cut,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
100,1810.0,Cut,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
101,1810.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
102,1810.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
103,1810.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
104,1810.0,Cut,Head,Death,,Horse,unknown,Sword_cutting,True,True
105,1810.0,Cut,Head,Incapacitation,Incapacitation,Horse,unknown,Sword_cutting,True,False
106,1814.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
107,1815.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
108,1815.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
109,1815.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
110,1816.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
111,1816.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
112,1816.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
113,1816.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
114,1810.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
115,1810.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
116,1810.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
117,1810.0,Thrust,Head,Death,,Horse,Europe,Sword_cutting,True,True
118,1815.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
119,1815.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
120,1815.0,Thrust,Head,Death,,Horse,Europe,Sword_cutting,True,True
121,1815.0,Thrust,Arm,Ineffective,Ineffective,Foot,Europe,Sword_cutting,False,False
122,1815.0,unspecified,unspecified,Ineffective,Ineffective,Foot,Europe,Sword_cutting,False,False
123,1815.0,Thrust,Arm,Ineffective,Ineffective,Foot,Europe,Sword_cutting,False,False
124,1815.0,Cut,Head,Ineffective,Ineffective,Foot,Europe,Sword_cutting,False,False
125,1815.0,Strike,Head,Incapacitation,Incapacitation,Foot,Europe,Sword_cutting,True,False
126,1815.0,Strike,unspecified,Death,,Foot,Europe,Unarmed,True,True
127,1815.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
128,1815.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
129,1815.0,Strike,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
130,1815.0,Strike,Head,Incapacitation,Incapacitation,Horse,Europe,Polearm,True,False
131,1815.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Polearm,True,False
132,1815.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Polearm,True,False
133,1815.0,Cut,Arm,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
134,1815.0,Thrust,Head,Death,,Horse,Europe,Sword_cutting,True,True
135,1815.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
136,1815.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
137,1815.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
138,1815.0,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Europe,Sword_cutting,True,False
139,1798.0,Thrust,Torso,Death,,Foot,Africa,Sword_2h,True,True
140,1801.0,Cut,Head,Death,,Foot vs Horse,Africa,Sword_2h,True,True
141,1801.0,Cut,Head,Death,,Foot vs Horse,Africa,Sword_2h,True,True
142,1807.0,Cut,unspecified,Ineffective,Ineffective,Foot,Naval Combat,Sword_cutting,False,False
143,1807.0,Cut,unspecified,Ineffective,Ineffective,Foot,Naval Combat,Sword_cutting,False,False
144,1807.0,Cut,unspecified,Ineffective,Ineffective,Foot,Naval Combat,Sword_cutting,False,False
145,1807.0,Cut,unspecified,Ineffective,Ineffective,Foot,Naval Combat,Sword_cutting,False,False
