Weapon Type,Attack Type,Fight Ended,Mortality
Club,Cut,0.5,0.0
Club,Strike,0.45454545454545453,0.09090909090909091
Club,Thrust,0.0,0.0
Club,unspecified,,
Dagger,Cut,0.5,0.0
Dagger,Strike,,
Dagger,Thrust,0.2727272727272727,0.6363636363636364
Dagger,unspecified,,
Other,Cut,0.6,0.2
Other,Strike,,
Other,Thrust,0.4,0.2
Other,unspecified,0.0,0.0
Polearm,Cut,0.3333333333333333,0.09523809523809523
Polearm,Strike,0.75,0.0
Polearm,Thrust,0.2288135593220339,0.16101694915254236
Polearm,unspecified,0.5,0.5
Sword_2h,Cut,0.6363636363636364,0.36363636363636365
Sword_2h,Strike,1.0,0.0
Sword_2h,Thrust,0.5,0.375
Sword_2h,unspecified,0.0,0.0
Sword_cutting,Cut,0.5454545454545454,0.2195540308747856
Sword_cutting,Strike,0.75,0.03125
Sword_cutting,Thrust,0.543859649122807,0.19298245614035087
Sword_cutting,unspecified,0.5,0.25
Sword_vers,Cut,0.75,0.5
Sword_vers,Strike,0.2,0.0
Sword_vers,Thrust,0.09090909090909091,0.09090909090909091
Sword_vers,unspecified,,
Unarmed,Cut,,
Unarmed,Strike,0.8666666666666667,0.06666666666666667
Unarmed,Thrust,1.0,1.0
Unarmed,unspecified,,
